;PCB;PCB;PCB;PCB;PCB;PCB;PCB;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Die Crack;Die Crack;Die Crack;Die Crack;Die Crack;Die Crack;Die Crack;Die Crack;Die Crack;Die Crack;Die Crack;Die Crack;BrightField PD (FM);BrightField PD (FM);BrightField PD (FM);BrightField PD (FM);BrightField PD (FM);BrightField PD (FM);BrightField PD (FM);BrightField PD (FM);BrightField All (FM);BrightField All (FM);BrightField All (FM);BrightField All (FM);BrightField All (FM);BrightField All (FM);BrightField All (FM);BrightField All (FM);BrightField All (FM);BrightField All (FM)
Unit;1. Defect;2. *N_Defect;3. Total Area;4. Areas;5. Total Area (um);6. Areas (um);7. Angle (deg);1. Defect;2. N_Defect;3. Row 1;4. Column 1;5. Angle 1;6. Width 1;7. Height 1;8. *Row 2;9. *Column 2;10. Angle 2;11. Width 2;12. Height 2;13. Center X;14. Center Y;15. Orientation;16. *Row Difference;17. *Column Difference;18. Distance;19. *Angle Difference;20. Inspection Time;1. Defect;2. *N_Defect;3. Total Area;4. Areas;5. Total Area (um);6. Areas (um);7. Angle (deg);8. *circularity;9. *inner_radius (um);10. *width (um);11. Inspection Time;1. Defect;2. *N_Defect;3. Total Area;4. Areas;5. Total Area (um);6. Areas (um);7. Angle (deg);8. *contlength;9. *inner_radius;10. *bulkiness;11. Inspection Time;1. Defect;2. *N_Defect;3. Total Area;4. Areas;5. Total Area (um);6. Areas (um);7. Angle (deg);8. *inner_radius (um);9. Offset X;10. Offset Y;11. Offset Theta;12. Inspection Time;1. Defect_Name;2. Defect;3. N_Defect;4. *Diameter FAIL (um)(FM);5. Diameter ALL (um)(FM);6. Area ALL (um2)(FM);7. *Cummulative Area (um2)(FM);8. Inspection Time;1. Defect_Name;2. Defect;3. N_Defect;4. *Diameter FAIL PD (um)(FM);5. *Diameter FAIL Non-Act (um)(FM);6. *Area FAIL (um)(FM);7. Diameter ALL (um)(FM);8. Area ALL (um2)(FM);9. *Cummulative Area (um2)(FM);10. Inspection Time
HE_1_2_L;"1";1;2988289;2988289;7650019.84;7650019.84;-1.60246771294087;"1";0;1254.35837637317;1880.12565091744;0.18137756140771;4029.55481666898;1987.3166197549;1384.4856160822;1878.03257656215;-0.0174827983398391;5081.07778786495;3433.69629357451;1319.42199622769;1879.07911373979;1.55471288508002;-208.203583534448;3.34891896846457;208.230515186519;0.198860359747549;145.858500000031;"1";0;0;0;0;0;0;[0.71711101953357, 0.670264729854569, 0.667564781356186, 0.679946963061664, 0.664341985596796, 0.656242467313663, 0.713381179217407, 0.689684798816444, 0.723931531449133];[29.6, 31.2, 31.2, 30.4, 29.6, 31.2, 31.2, 30.4, 31.2];[70.4, 67.2, 67.2, 65.6, 67.2, 65.6, 65.6, 64, 67.2];3.22539999979199;"1";0;0;0;0;0;0;0;0;0;1.49790000068606;"1";1;32635;32635;83545.6;83545.6;-5.81715828420857;5.6;2828.28222460549;-2150.34258924468;-333.298618444714;7.21160000102827;"FM";"72";1;0;13.7637204272682;112.64;112.64;112.6030000014;"FM";"1";1;0;0;0;13.7637204272682;112.64;112.64;15.8529000000271
HE_2_2_L;"1";1;2988660;2988660;7650969.6;7650969.6;-1.62137593261123;"1";0;1268.57394397478;1866.50535310299;0.159325768287136;4029.64426348414;1987.30614385249;1397.45558857008;1865.14173648495;-0.0182013516010046;5084.142637697;3433.69342142318;1333.01476627243;1865.82354479397;1.56021634278978;-206.210631352482;2.18178658886718;206.22217309375;0.17752711988814;146.132000001671;"1";0;0;0;0;0;0;[0.680520552937094, 0.650833254885578, 0.666274829198056, 0.683335037537357, 0.658912999842485, 0.662397210359722, 0.69352981810228, 0.684957317922927, 0.683478863116273];[30.4, 30.4, 30.4, 30.4, 30.4, 30.4, 31.2, 31.2, 30.4];[68.8, 65.6, 67.2, 67.2, 67.2, 67.2, 65.6, 67.2, 64];4.18070000159787;"1";0;0;0;0;0;0;0;0;0;2.13090000033844;"1";1;32880;32880;84172.8;84172.8;-5.48638423683319;5.6;2814.04326034063;-2172.70350364963;-314.346661557645;10.8164000012039;"FM";"1";0;0;0;0;0;122.17480000254;"FM";"1";0;0;0;0;0;0;0;15.9944000006362
HE_2_1_L;"1";1;2993312;2993312;7662878.72;7662878.72;-1.51506395391113;"1";0;1266.27742092911;1880.51342355574;0.263510062818902;4030.3249492155;1988.31488268336;1392.93321737608;1879.45708751719;0.0472711304776834;5083.39030797939;3430.50426479456;1329.6053191526;1879.98525553646;1.56245630938858;-202.649274315151;1.69013766169119;202.656322244762;0.216238932341218;93.7247000001662;"1";0;0;0;0;0;0;[0.667273961297979, 0.690148242225744, 0.67610288253703, 0.685989830009084, 0.683835289175792, 0.665211009894536, 0.693025811238775, 0.67184815299537, 0.730283399525675];[30.4, 31.2, 29.6, 31.2, 30.4, 30.4, 31.2, 31.2, 30.4];[68.8, 65.6, 65.6, 67.2, 67.2, 65.6, 67.2, 68.8, 68.8];3.15910000063013;"1";0;0;0;0;0;0;0;0;0;1.76069999724859;"1";1;33637;33637;86110.72;86110.72;-5.72191079278544;5.6;2876.73954276541;-2179.18473109968;-327.841339176961;7.13910000195028;"FM";"1";0;0;0;0;0;50.1850000000559;"FM";"1";0;0;0;0;0;0;0;11.2384999993083
HE_1_1_L;"1";1;2992983;2992983;7662036.48;7662036.48;-1.56393257429903;"1";0;1257.27233646449;1894.55355467224;0.220701526961829;4030.40692533317;1988.21713688512;1381.37339891951;1892.21332681416;0.00225753869490331;5081.78582223253;3429.28264111369;1319.322867692;1893.3834407432;1.55194112544772;-198.561699928046;3.74436457293705;198.597001347881;0.218443988266925;84.4662999988941;"1";0;0;0;0;0;0;[0.638975104272575, 0.69501712520597, 0.706645732433014, 0.659499805494644, 0.680845782807621, 0.703986694841698, 0.684307875820965, 0.694059728802601, 0.669666649194685];[30.4, 31.2, 31.2, 31.2, 31.2, 30.4, 31.2, 31.2, 31.2];[65.6, 70.4, 70.4, 67.2, 68.8, 67.2, 68.8, 65.6, 67.2];3.77529999968829;"1";0;0;0;0;0;0;0;0;0;1.93880000006175;"1";1;33230;33230;85068.8;85068.8;-4.49966723368813;5.6;2837.06862473668;-2159.03730364129;-257.811941703636;7.518300000811;"FM";"1";0;0;0;0;0;43.7339000018255;"FM";"1";0;0;0;0;0;0;0;11.4744000020437
HE_3_1_L;"1";1;2993613;2993613;7663649.28;7663649.28;-1.65090385937716;"1";0;1243.9895930194;1885.95820249186;0.142737222183957;4030.07336144716;1988.40766880178;1370.96801731323;1884.12606169066;-0.0349962654282749;5079.79833941492;3428.41800276035;1307.47880516631;1885.04213209126;1.55636857118683;-203.165478870117;2.93142528191347;203.18662618073;0.177733487612232;141.172899999219;"1";0;0;0;0;0;0;[0.648066563852302, 0.670787433282011, 0.665167895726543, 0.652656075087416, 0.671529918289573, 0.663665038363992, 0.659796765947271, 0.66253983667417, 0.672530054722555];[31.2, 31.2, 30.4, 30.4, 30.4, 30.4, 30.4, 30.4, 31.2];[67.2, 64, 65.6, 64, 65.6, 64, 64, 68.8, 65.6];6.22529999964172;"1";0;0;0;0;0;0;0;0;0;1.81879999945522;"1";1;32157;32157;82321.92;82321.92;-4.9121992646945;5.6;2847.21072239326;-2104.16678172715;-281.448285994261;10.1080999993428;"FM";"1";0;0;0;0;0;131.473299999925;"FM";"1";0;0;0;0;0;0;0;25.7170000004407
HE_3_2_L;"1";1;2990714;2990714;7656227.84;7656227.84;-1.60766337735486;"1";0;1244.04773183978;1870.57863627541;0.179899029127987;4029.44649249352;1987.27559987673;1373.63664392111;1869.5129150946;0.027520588414665;5079.78569139601;3428.61141305837;1308.84218788045;1870.04577568501;1.56257265133463;-207.342259330121;1.70515388929416;207.349270685732;0.152378440713322;149.56489999895;"1";0;0;0;0;0;0;[0.623378819830574, 0.670376405271627, 0.715853742413756, 0.674893462144337, 0.684183019639681, 0.705483090168395, 0.668696072922711, 0.690612185953282, 0.663694662595798];[30.4, 30.4, 31.2, 31.2, 29.6, 30.4, 30.4, 30.4, 28.8];[64, 67.2, 67.2, 67.2, 67.2, 67.2, 65.6, 68.8, 64];3.09430000197608;"1";0;0;0;0;0;0;0;0;0;2.36710000172025;"1";1;32004;32004;81930.24;81930.24;-5.18128646390842;5.6;2795.32153480815;-2114.02439695038;-296.865846830215;8.28960000217194;"FM";"1";0;0;0;0;0;147.303900001134;"FM";"1";0;0;0;0;0;0;0;15.8320999980788
HE_4_1_L;"1";1;2992852;2992852;7661701.12;7661701.12;-1.6366865355373;"1";0;1260.34075111169;1875.06767522012;0.144665321175849;4030.32787791297;1988.38318880918;1386.7044490862;1874.66962335029;-0.0725870611172549;5085.39131623789;3436.5112057488;1323.52260009894;1874.8686492852;1.56764628798134;-202.181916759216;0.636882991734092;202.182919863118;0.217252382293104;130.224299999099;"1";0;0;0;0;0;0;[0.633654733602047, 0.683216003660312, 0.680503601982867, 0.693855159771857, 0.648757528760882, 0.682125852045883, 0.665630822705087, 0.680428733691871, 0.660455517376215];[30.4, 31.2, 31.2, 31.2, 30.4, 30.4, 31.2, 31.2, 30.4];[65.6, 68.8, 68.8, 67.2, 65.6, 68.8, 65.6, 65.6, 62.4];6.39349999983096;"1";0;0;0;0;0;0;0;0;0;3.42169999930775;"1";1;32417;32417;82987.52;82987.52;-5.28871510771239;5.6;2853.51962242034;-2134.08377086097;-303.021054718997;8.66859999950975;"FM";"1";0;0;0;0;0;127.044299999397;"FM";"1";0;0;0;0;0;0;0;12.922099998832
HE_5_1_L;"1";1;2990089;2990089;7654627.84;7654627.84;-1.68253525643514;"1";0;1249.56016928988;1884.20889537439;0.098677072813155;4029.98525896952;1988.09183270598;1375.34111703052;1882.33227124981;-0.104181520733846;5090.65667739859;3437.77483079074;1312.4506431602;1883.2705833121;1.55587765324801;-201.249516385027;3.0025985993303;201.271914194594;0.202858593547001;174.264499997662;"1";0;0;0;0;0;0;[0.618637824876406, 0.662145579863994, 0.663258902522437, 0.624091194804367, 0.652318907719355, 0.6301155218557, 0.668450090254832, 0.660200255786989, 0.641827863762257];[30.4, 31.2, 31.2, 30.4, 30.4, 29.6, 30.4, 30.4, 29.6];[64, 64, 65.6, 64, 64, 64, 62.4, 64, 62.4];8.65939999857801;"1";0;0;0;0;0;0;0;0;0;1.60260000120616;"1";1;32482;32482;83153.92;83153.92;-5.10231061752553;5.6;2874.4926543932;-2113.02707961332;-292.340864149001;10.8342999992601;"FM";"1";0;0;0;0;0;137.90710000103;"FM";"1";0;0;0;0;0;0;0;16.5015999991738
HE_6_1_L;"1";1;2986649;2986649;7645821.44;7645821.44;-1.61123166528726;"1";0;1263.24550279663;1871.11336933428;0.172732260140191;4029.845349806;1988.33039196506;1389.13866606698;1869.84818981803;-0.05576517808425;5094.69382592676;3433.23306737778;1326.1920844318;1870.48077957615;1.56074703663741;-201.429061232563;2.02428722599798;201.439232643011;0.228497438224441;111.08090000198;"1";0;0;0;0;0;0;[0.601476256024902, 0.616367397558332, 0.657650501768581, 0.645119569189252, 0.672372001806835, 0.649839393156452, 0.643954961656997, 0.623311029757148, 0.655157454327368];[30.4, 30.4, 30.4, 30.4, 28.8, 29.6, 29.6, 29.6, 29.6];[67.2, 64, 67.2, 64, 65.6, 65.6, 62.4, 64, 62.4];2.21539999984088;"1";0;0;0;0;0;0;0;0;0;3.48849999863887;"1";1;33487;33487;85726.72;85726.72;-5.14766977120389;5.6;2860.90315644877;-2162.35534983725;-294.939752217057;13.6945999984164;"FM";"1";0;0;0;0;0;98.4723000001395;"FM";"1";0;0;0;0;0;0;0;19.1384999998263
