;Pattern Matching Modified;Pattern Matching Modified;Pattern Matching Modified;Pattern Matching Modified;Pattern Matching Modified;Pattern Matching Modified;Missing Die;Missing Die;Missing Die;Missing Die;Missing Die;Missing Die;Missing Die;Missing Die;Missing Die;Missing Die;Missing Die;FO2;FO2;FO2;FO2;FO2;FO2;FO2;FO2;FO2;FO2;FO2;FO2;FO2;FO2;Unbonded;Unbonded;Unbonded;Unbonded;Missing;Missing;Missing;Missing;Broken;Broken;Broken;Broken;Bond Tail;Bond Tail;Bond Tail;Bond Tail;Bond Tail;Bond Tail;Bond Tail;NSOP;NSOP;NSOP;NSOP;Wire Sweep;Wire Sweep;Wire Sweep;Wire Sweep;Wire Sweep;Wire Sweep;Wire Sweep;Wire Sweep;Wire Sweep
Unit;1. Matching Number;2. Rows;3. Columns;4. Angles;5. Scores;6. Inspection Time;1. Defect;2. *N_Defect;3. Total Area;4. Areas;5. Total Area (um);6. Areas (um);7. Angle (deg);8. Offset X;9. Offset Y;10. Offset Theta;11. Inspection Time;1. Defect;2. N_Defect;3. I_Defect;4. Result;5. area pad;6. circularity pad;7. area lead;8. area wire;9. height wire;10. width wire-const;11. width wire;12. area bond tail;13. outer_radius bond tail;14. Inspection Time;1. Defect;2. *N_Defect;3. *Defect Index;4. Inspection Time;1. Defect;2. *N_Defect;3. *Defect Index;4. Inspection Time;1. Defect;2. *N_Defect;3. *Defect Index;4. Inspection Time;1. Defect;2. *N_Defect;3. *Defect Index;5. Area Bond Tail;6. Row Bond Tail;7. Column Bond Tail;7. Inspection Time;1. Defect;2. *N_Defect;3. *Defect Index;4. Inspection Time;1. Defect;2. *N_Defect;3. Total Area;4. Areas;5. Total Area (um);6. Areas (um);7. Angle (deg);8. *width (um);9. Inspection Time
HE_1_2_O;1;1274.77889481252;1897.18785149073;0.0615410739093821;0.978837750725901;35.9613999971771;"1";0;0;0;0;0;0;0;0;0;7.05649999872549;"1";0;0;"Good/OthersDefect";[1545, 1472, 1502, 1496, 1473, 1475, 1492, 1455, 1485];[0.636925579070411, 0.683151912567656, 0.664823441157005, 0.706673145146803, 0.696588538165108, 0.693496213289513, 0.674663407437239, 0.706514327875433, 0.686540681858912];[227, 253, 244, 247, 226, 261, 237, 223, 230];[2568, 2406, 2302, 2244, 2348, 2442, 2551, 2574, 2441];[121, 120, 121, 119, 120, 120, 120, 118, 117];[38, 40, 40, 39, 40, 39, 41, 41, 39];[38, 40, 40, 39, 40, 39, 41, 41, 39];0;0;32.8298000022187;"1";0;0;0.397600000724196;"1";0;0;0.245899998844834;"1";0;0;0.354699997842545;"1";0;0;0;0;0;0.359199999365956;"1";0;0;0.337800000124844;"1";0;0;0;0;0;0;[28.8, 28.8, 30.4, 28.8, 28.8, 32, 32, 32, 32];3.34140000268235
HE_2_2_O;1;1282.99837571905;1892.20286719476;0.0563171557572282;0.979005066164717;28.5255999988294;"1";0;0;0;0;0;0;0;0;0;4.37579999925219;"1";0;0;"Good/OthersDefect";[1499, 1440, 1531, 1501, 1486, 1457, 1532, 1473, 1459];[0.671992925361466, 0.684241395466171, 0.654641341591361, 0.675093278836924, 0.680030095589157, 0.699416644494266, 0.694096116266339, 0.710524118141311, 0.743684731930675];[219, 226, 230, 242, 231, 218, 206, 210, 208];[2321, 2537, 2302, 2315, 2364, 2452, 2448, 2666, 2541];[119, 120, 120, 119, 119, 120, 121, 118, 117];[39, 41, 40, 40, 38, 39, 38, 39, 37];[39, 41, 40, 40, 38, 39, 38, 39, 37];0;0;32.611699996778;"1";0;0;0.324799999361858;"1";0;0;0.34609999784152;"1";0;0;0.375299998268019;"1";0;0;0;0;0;0.256100000115111;"1";0;0;0.274899997748435;"1";0;0;0;0;0;0;[28.8, 30.4, 27.2, 28.8, 27.2, 30.4, 30.4, 30.4, 33.6];3.57689999873401
HE_1_1_O;1;1286.1342660471;1911.4135536058;0.130097409627124;0.983551220825248;23.3334000004106;"1";0;0;0;0;0;0;0;0;0;3.6870000003546;"1";0;0;"Wire Sweep";[1496, 1469, 1476, 1491, 1538, 1429, 1519, 1432, 1449];[0.686103593513714, 0.694718210375759, 0.687127362352935, 0.664278416865524, 0.668925123722449, 0.688789060925617, 0.660846473545759, 0.693646690475546, 0.717206511401393];[216, 234, 223, 210, 229, 224, 216, 226, 226];[4102, 2697, 2697, 2574, 2452, 2735, 2587, 2583, 2694];[121, 121, 122, 119, 120, 121, 121, 118, 117];[143, 40, 40, 40, 40, 40, 42, 41, 43];[143, 40, 40, 40, 40, 40, 42, 41, 43];0;0;35.6490999984089;"1";0;0;0.31699999817647;"1";0;0;0.314199998683762;"1";0;0;0.430499996582512;"1";0;0;0;0;0;0.303299999359297;"1";0;0;0.280500000371831;"1";0;0;0;0;0;0;[33.6, 30.4, 30.4, 33.6, 30.4, 30.4, 28.8, 33.6, 35.2];4.46190000002389
HE_2_1_O;1;1300.98658668287;1898.83506815136;0.0649964168906612;0.961363454446925;18.4869000004255;"1";0;0;0;0;0;0;0;0;0;5.27590000274358;"1";0;0;"Wire Sweep";[1549, 1511, 1520, 1507, 1448, 1469, 1553, 1497, 1476];[0.643859623321725, 0.69663948136368, 0.654605052753296, 0.688891279353231, 0.672451691762612, 0.702369471448524, 0.675520734750891, 0.711478591109814, 0.717537979678912];[231, 202, 213, 216, 210, 220, 206, 214, 202];[3124, 3060, 2926, 3002, 2963, 2678, 2641, 2700, 3692];[121, 122, 121, 121, 121, 122, 122, 118, 118];[92, 58, 44, 44, 89, 40, 41, 49, 139];[92, 58, 44, 44, 89, 40, 41, 49, 139];0;0;41.9022999994922;"1";0;0;0.339399997756118;"1";0;0;0.308700000459794;"1";0;0;0.478299996757414;"1";0;0;0;0;0;0.458399998024106;"1";0;0;0.270799999270821;"1";0;0;0;0;0;0;[30.4, 30.4, 32, 32, 30.4, 30.4, 30.4, 30.4, 32];4.66760000199429
HE_4_2_O;1;1283.86917495909;1890.52510639343;0.0412014556892382;0.968980916423959;24.5928000003914;"1";0;0;0;0;0;0;0;0;0;7.07830000101239;"1";0;0;"Good/OthersDefect";[1479, 1470, 1492, 1520, 1497, 1498, 1516, 1506, 1486];[0.64382340373606, 0.668469936580137, 0.643104461135618, 0.692621372076387, 0.712828448226004, 0.701132489848926, 0.683890868335823, 0.703413150258879, 0.688680489415109];[232, 213, 220, 217, 227, 228, 226, 202, 202];[2171, 2680, 2536, 2120, 2488, 2281, 2405, 2498, 2357];[120, 120, 120, 118, 119, 120, 120, 117, 116];[38, 39, 39, 41, 41, 40, 38, 37, 39];[38, 39, 39, 41, 41, 40, 38, 37, 39];0;0;50.5668000005244;"1";0;0;0.289799998427043;"1";0;0;0.328199999785284;"1";0;0;0.288899998849956;"1";0;0;0;0;0;0.331800001731608;"1";0;0;0.477099998533959;"1";0;0;0;0;0;0;[32, 33.6, 30.4, 30.4, 30.4, 28.8, 35.2, 38.4, 35.2];2.53650000013295
HE_3_1_O;1;1284.88446138958;1910.88385335539;0.101283206503485;0.971782649080737;74.8281000014686;"1";0;0;0;0;0;0;0;0;0;3.31579999692622;"1";0;0;"Wire Sweep";[1484, 1506, 1528, 1496, 1526, 1495, 1545, 1470, 1484];[0.668799359187549, 0.680310624566625, 0.682387638011501, 0.698514610786258, 0.68347419347303, 0.691612488191732, 0.693480963516579, 0.71524673027926, 0.697604514935427];[194, 207, 211, 208, 215, 201, 203, 212, 204];[2503, 3029, 3224, 2478, 3110, 3537, 2587, 2994, 2596];[121, 121, 121, 120, 120, 121, 121, 118, 116];[44, 89, 95, 39, 92, 143, 40, 92, 41];[44, 89, 95, 39, 92, 143, 40, 92, 41];0;0;27.4811000017507;"1";0;0;0.443200002337107;"1";0;0;0.308499998936895;"1";0;0;0.386499999876833;"1";0;0;0;0;0;0.422099998104386;"1";0;0;0.259399999777088;"1";0;0;0;0;0;0;[30.4, 30.4, 30.4, 28.8, 30.4, 32, 30.4, 32, 33.6];6.51819999984582
HE_6_1_O;1;1292.8583697246;1899.33687365414;-0.00874701841537618;0.983918085587732;44.7578999992402;"1";0;0;0;0;0;0;0;0;0;2.89850000262959;"1";0;0;"Wire Sweep";[1526, 1525, 1551, 1535, 1532, 1527, 1538, 1496, 1519];[0.649970932988486, 0.643809430275144, 0.658904946304157, 0.6892688026927, 0.693821313872264, 0.721279623210956, 0.672391630165553, 0.711569265552449, 0.719742810131227];[201, 173, 193, 200, 183, 193, 212, 185, 201];[2726, 2784, 2659, 2882, 2711, 2735, 3224, 2525, 3398];[122, 122, 121, 120, 120, 120, 121, 118, 117];[41, 46, 39, 45, 43, 42, 92, 43, 95];[41, 46, 39, 45, 43, 42, 92, 43, 95];0;0;58.51740000071;"1";0;0;0.310999999783235;"1";0;0;0.308900001982693;"1";0;0;0.585600002523279;"1";0;0;0;0;0;0.601099996856647;"1";0;0;0.843699999677483;"1";0;0;0;0;0;0;[30.4, 32, 32, 30.4, 33.6, 30.4, 32, 30.4, 32];5.89700000273297
HE_5_1_O;1;1275.97159504307;1912.56557724605;0.0166356898565603;0.97864545893006;66.8506000001798;"1";0;0;0;0;0;0;0;0;0;2.73240000024089;"1";0;0;"Good/OthersDefect";[1517, 1511, 1544, 1503, 1497, 1508, 1509, 1482, 1488];[0.674679095622576, 0.672697111351617, 0.674366579383857, 0.705181122366179, 0.678756409946347, 0.664854107468692, 0.681614007381627, 0.696095648368117, 0.684618824528476];[213, 219, 214, 209, 226, 185, 211, 218, 194];[2500, 2865, 2778, 2755, 2649, 2731, 2425, 2549, 2715];[122, 121, 121, 120, 119, 120, 122, 119, 118];[41, 42, 46, 43, 41, 39, 39, 41, 41];[41, 42, 46, 43, 41, 39, 39, 41, 41];0;0;48.1087000007392;"1";0;0;0.637499997537816;"1";0;0;0.503300001582829;"1";0;0;0.834599999507191;"1";0;0;0;0;0;0.31949999902281;"1";0;0;0.296200003504055;"1";0;0;0;0;0;0;[30.4, 59.2, 36.8, 33.6, 32, 59.2, 44.8, 36.8, 33.6];2.51829999979236
HE_5_2_O;1;1266.03520711557;1896.49295971167;0.057634923214966;0.979048153649742;37.0770000008633;"1";0;0;0;0;0;0;0;0;0;1.88619999971706;"1";0;0;"Good/OthersDefect";[1504, 1515, 1508, 1467, 1469, 1502, 1521, 1465, 1447];[0.65910277062972, 0.670075851004175, 0.626315579973843, 0.646325476970303, 0.668481096377882, 0.661649964304696, 0.677165561962095, 0.679615989273452, 0.71303081604185];[239, 216, 245, 233, 204, 216, 211, 239, 222];[2235, 2609, 2654, 2397, 2514, 2245, 2364, 2184, 2442];[119, 121, 121, 120, 120, 120, 122, 118, 117];[39, 39, 39, 39, 39, 39, 39, 39, 40];[39, 39, 39, 39, 39, 39, 39, 39, 40];0;0;31.7692999997234;"1";0;0;0.493899999128189;"1";0;0;0.546999999642139;"1";0;0;0.348000001395121;"1";0;0;0;0;0;0.873600001796149;"1";0;0;0.969600001553772;"1";0;0;0;0;0;0;[30.4, 32, 32, 30.4, 32, 30.4, 27.2, 30.4, 33.6];2.84350000220002
