;Pattern Matching Modified;Pattern Matching Modified;Pattern Matching Modified;Pattern Matching Modified;Pattern Matching Modified;Pattern Matching Modified;Missing Die;Missing Die;Missing Die;Missing Die;Missing Die;Missing Die;Missing Die;Missing Die;Missing Die;Missing Die;Missing Die;FO2;FO2;FO2;FO2;FO2;FO2;FO2;FO2;FO2;FO2;FO2;FO2;FO2;FO2;Unbonded;Unbonded;Unbonded;Unbonded;Missing;Missing;Missing;Missing;Broken;Broken;Broken;Broken;Bond Tail;Bond Tail;Bond Tail;Bond Tail;Bond Tail;Bond Tail;Bond Tail;NSOP;NSOP;NSOP;NSOP;Wire Sweep;Wire Sweep;Wire Sweep;Wire Sweep;Wire Sweep;Wire Sweep;Wire Sweep;Wire Sweep;Wire Sweep
Unit;1. Matching Number;2. Rows;3. Columns;4. Angles;5. Scores;6. Inspection Time;1. Defect;2. *N_Defect;3. Total Area;4. Areas;5. Total Area (um);6. Areas (um);7. Angle (deg);8. Offset X;9. Offset Y;10. Offset Theta;11. Inspection Time;1. Defect;2. N_Defect;3. I_Defect;4. Result;5. area pad;6. circularity pad;7. area lead;8. area wire;9. height wire;10. width wire-const;11. width wire;12. area bond tail;13. outer_radius bond tail;14. Inspection Time;1. Defect;2. *N_Defect;3. *Defect Index;4. Inspection Time;1. Defect;2. *N_Defect;3. *Defect Index;4. Inspection Time;1. Defect;2. *N_Defect;3. *Defect Index;4. Inspection Time;1. Defect;2. *N_Defect;3. *Defect Index;5. Area Bond Tail;6. Row Bond Tail;7. Column Bond Tail;7. Inspection Time;1. Defect;2. *N_Defect;3. *Defect Index;4. Inspection Time;1. Defect;2. *N_Defect;3. Total Area;4. Areas;5. Total Area (um);6. Areas (um);7. Angle (deg);8. *width (um);9. Inspection Time
HE_1_1_O;1;1298.53996080956;1880.45882438894;0.093223839199482;0.966448496894373;20.4379999995581;"1";0;0;0;0;0;0;0;0;0;4.16459999905783;"1";0;0;"Good/OthersDefect";[1550, 1532, 1594, 1543, 1506, 1583, 1565, 1580, 1527];[0.833727621658078, 0.857186980338336, 0.820825259830761, 0.84472533367039, 0.86765936304764, 0.823105652396245, 0.855255951272326, 0.774949615063745, 0.85271473712895];[195, 218, 181, 197, 179, 158, 205, 205, 205];[2216, 2554, 2369, 2340, 2721, 2301, 2350, 2247, 2297];[118, 120, 118, 116, 117, 119, 118, 116, 114];[40, 43, 41, 43, 42, 43, 42, 40, 43];[40, 43, 41, 43, 42, 43, 42, 40, 43];0;0;22.2227000012936;"1";0;0;0.2275999977428;"1";0;0;0.322100000630599;"1";0;0;0.260400000115624;"1";0;0;0;0;0;0.277200000709854;"1";0;0;0.248199998168275;"1";0;0;0;0;0;0;[22.4, 32, 32, 30.4, 35.2, 28.8, 28.8, 32, 40];5.46079999912763
HE_1_2_O;1;1282.62513787382;1876.02917119147;0.115863778576294;0.975396047957702;49.010200000339;"1";0;0;0;0;0;0;0;0;0;5.44520000039483;"1";0;0;"Good/OthersDefect";[1578, 1605, 1603, 1552, 1536, 1598, 1570, 1517, 1576];[0.798805535299437, 0.747865190981108, 0.798754932647129, 0.801874677898059, 0.857628150381376, 0.809620809573989, 0.849456657815153, 0.864629006179509, 0.836263477285373];[243, 261, 207, 199, 219, 214, 215, 223, 208];[2533, 2433, 2476, 2388, 2420, 2492, 2463, 2413, 2323];[118, 118, 117, 116, 116, 116, 117, 115, 113];[42, 44, 43, 43, 44, 42, 42, 44, 44];[42, 44, 43, 43, 44, 42, 42, 44, 44];0;0;21.8647000001511;"1";0;0;0.347400000464404;"1";0;0;0.288200000795769;"1";0;0;0.294800000119722;"1";0;0;0;0;0;0.28540000130306;"1";0;0;0.310300001729047;"1";0;0;0;0;0;0;[30.4, 33.6, 36.8, 36.8, 33.6, 33.6, 33.6, 32, 40];3.89099999665632
HE_2_2_O;1;1293.12192404234;1867.19765413229;0.0468580065540825;0.984598135560034;24.3139999984123;"1";0;0;0;0;0;0;0;0;0;4.33759999941685;"1";0;0;"Good/OthersDefect";[1577, 1597, 1672, 1572, 1553, 1531, 1640, 1634, 1568];[0.790894387588488, 0.761588788475901, 0.765243692357836, 0.862677066006274, 0.814643016223276, 0.846118804531999, 0.831022771987799, 0.797869505179649, 0.858638580051216];[229, 225, 201, 186, 235, 212, 192, 198, 207];[2465, 2425, 2517, 2431, 2398, 2446, 2231, 2241, 2315];[118, 118, 118, 117, 116, 117, 117, 115, 114];[40, 45, 44, 41, 41, 41, 40, 40, 44];[40, 45, 44, 41, 41, 41, 40, 40, 44];0;0;22.0569000011892;"1";0;0;0.282699998933822;"1";0;0;0.296199999866076;"1";0;0;0.247200001467718;"1";0;0;0;0;0;0.297800001135329;"1";0;0;0.340700000379002;"1";0;0;0;0;0;0;[33.6, 35.2, 30.4, 30.4, 35.2, 30.4, 30.4, 30.4, 40];6.43059999856632
HE_2_1_O;1;1309.61171079137;1879.00667176489;0.0805533041383351;0.968596855897346;30.3991000000678;"1";0;0;0;0;0;0;0;0;0;4.036599999381;"1";0;0;"Good/OthersDefect";[1542, 1570, 1558, 1539, 1584, 1542, 1558, 1558, 1535];[0.77627308657713, 0.808653672696968, 0.82118770748662, 0.85136402445217, 0.815000719295006, 0.830808095565644, 0.796936031673153, 0.84126047552349, 0.831712767089153];[175, 188, 145, 186, 189, 215, 181, 183, 203];[2508, 2447, 2454, 2350, 2430, 2413, 2265, 2178, 2307];[118, 118, 118, 118, 116, 118, 119, 116, 115];[39, 40, 41, 41, 41, 41, 40, 41, 42];[39, 40, 41, 41, 41, 41, 40, 41, 42];0;0;24.8332000010123;"1";0;0;0.322199997754069;"1";0;0;0.283499997749459;"1";0;0;0.272500001301523;"1";0;0;0;0;0;0.380700003006496;"1";0;0;0.308700000459794;"1";0;0;0;0;0;0;[32, 30.4, 32, 30.4, 33.6, 32, 27.2, 27.2, 38.4];1.76060000012512
HE_4_1_O;1;1306.98131720818;1876.65051663249;0.0624852140672525;0.978626040139389;47.2842000017408;"1";0;0;0;0;0;0;0;0;0;10.1863999989291;"1";0;0;"Good/OthersDefect";[1574, 1563, 1582, 1551, 1559, 1505, 1558, 1544, 1576];[0.759007145446369, 0.832610163490718, 0.742152139873753, 0.804554714191066, 0.837155665408892, 0.852193796361031, 0.781589683793136, 0.834601474994787, 0.850408604815272];[179, 207, 224, 192, 218, 204, 209, 227, 192];[2532, 2510, 2471, 2458, 2493, 2514, 2579, 2531, 2470];[119, 120, 118, 118, 118, 118, 118, 115, 116];[44, 40, 42, 40, 38, 41, 39, 41, 41];[44, 40, 42, 40, 38, 41, 39, 41, 41];0;0;30.3323000007367;"1";0;0;0.528500000655185;"1";0;0;0.314900000375928;"1";0;0;0.708299998223083;"1";0;0;0;0;0;0.67750000016531;"1";0;0;0.42340000072727;"1";0;0;0;0;0;0;[28.8, 28.8, 28.8, 30.4, 33.6, 28.8, 30.4, 30.4, 36.8];7.80799999847659
HE_3_2_O;1;1277.88628186412;1873.893706794;0.066409483264568;0.991372155113964;32.7760000000126;"1";0;0;0;0;0;0;0;0;0;12.5010000010661;"1";0;0;"Good/OthersDefect";[1566, 1562, 1568, 1516, 1561, 1521, 1545, 1535, 1579];[0.788344599326123, 0.785495384198922, 0.761351956325435, 0.839373937902745, 0.815851168200692, 0.87143009854225, 0.805310628686196, 0.840686986551403, 0.816358642925317];[234, 246, 250, 246, 232, 257, 252, 241, 229];[2530, 2440, 2579, 2376, 2347, 2364, 2458, 2413, 2483];[119, 118, 117, 117, 116, 117, 117, 115, 115];[41, 41, 42, 42, 40, 42, 41, 43, 42];[41, 41, 42, 42, 40, 42, 41, 43, 42];0;0;39.7794000018621;"1";0;0;0.316500001645181;"1";0;0;0.298200000543147;"1";0;0;0.246999999944819;"1";0;0;0;0;0;0.272999997832812;"1";0;0;0.627400000666967;"1";0;0;0;0;0;0;[33.6, 30.4, 30.4, 30.4, 36.8, 32, 33.6, 28.8, 36.8];7.09909999932279
HE_3_1_O;1;1291.6054292348;1883.46262488861;0.1579953501749;0.968220379814227;42.8204999989248;"1";0;0;0;0;0;0;0;0;0;13.9521000019158;"1";0;0;"Good/OthersDefect";[1555, 1553, 1590, 1549, 1514, 1560, 1545, 1565, 1565];[0.77337059288482, 0.80960086570755, 0.867819001649507, 0.829694078049005, 0.810090697154837, 0.803866908570864, 0.861776401584675, 0.830757800553082, 0.838270697099828];[234, 254, 235, 227, 215, 199, 213, 242, 218];[2550, 2459, 2542, 2674, 2461, 2465, 2455, 2498, 2580];[119, 118, 118, 119, 118, 118, 121, 116, 115];[41, 41, 41, 42, 42, 40, 43, 42, 44];[41, 41, 41, 42, 42, 40, 43, 42, 44];0;0;24.8210999998264;"1";0;0;0.389299999369541;"1";0;0;0.349599999026395;"1";0;0;0.383899998269044;"1";0;0;0;0;0;0.512599999638041;"1";0;0;0.287099999695783;"1";0;0;0;0;0;0;[30.4, 30.4, 30.4, 30.4, 30.4, 30.4, 27.2, 27.2, 40];4.82259999989765
HE_4_2_O;1;1285.71816755395;1860.29847219039;0.197846015859155;0.984567667019789;32.0546000002651;"1";0;0;0;0;0;0;0;0;0;8.86610000088695;"1";0;0;"Good/OthersDefect";[1602, 1642, 1552, 1502, 1562, 1585, 1567, 1575, 1561];[0.834105810938196, 0.763032789602818, 0.857386195980812, 0.858271141123944, 0.830615622048469, 0.83130516056684, 0.860295982536263, 0.826511898299742, 0.89594809039193];[222, 229, 242, 208, 230, 230, 218, 223, 216];[2389, 2554, 2559, 2397, 2502, 2377, 2357, 2339, 2354];[118, 117, 116, 117, 117, 116, 117, 115, 116];[42, 39, 41, 43, 41, 42, 39, 40, 43];[42, 39, 41, 43, 41, 42, 39, 40, 43];0;0;34.9671000003582;"1";0;0;0.485800002934411;"1";0;0;0.444900000729831;"1";0;0;0.356900000042515;"1";0;0;0;0;0;0.301899999612942;"1";0;0;0.253499998507323;"1";0;0;0;0;0;0;[33.6, 33.6, 33.6, 30.4, 33.6, 27.2, 30.4, 32, 40];11.8251999992935
HE_6_2_O;1;1292.36070589297;1860.3661983031;0.258127234298418;0.987498400599108;30.8116000014707;"1";0;0;0;0;0;0;0;0;0;6.10080000114976;"1";0;0;"Good/OthersDefect";[1608, 1599, 1554, 1536, 1569, 1621, 1580, 1624, 1623];[0.76666842153528, 0.785523606480625, 0.812334808206959, 0.825541067083425, 0.818544170910421, 0.805207591289781, 0.835911069561847, 0.811193205522507, 0.827197250888876];[213, 223, 183, 196, 227, 219, 225, 206, 194];[2343, 2554, 2539, 2423, 2533, 2535, 2436, 2433, 2382];[119, 117, 118, 116, 117, 119, 117, 116, 116];[43, 43, 39, 40, 39, 40, 42, 40, 41];[43, 43, 39, 40, 39, 40, 42, 40, 41];0;0;24.6681000026001;"1";0;0;0.299200000881683;"1";0;0;0.456200003100093;"1";0;0;0.310800001898315;"1";0;0;0;0;0;0.369800000044052;"1";0;0;0.263599999016151;"1";0;0;0;0;0;0;[25.6, 30.4, 30.4, 33.6, 33.6, 33.6, 28.8, 28.8, 43.2];1.8396000014036
