;Pattern Matching Modified;Pattern Matching Modified;Pattern Matching Modified;Pattern Matching Modified;Pattern Matching Modified;Pattern Matching Modified;Darkfield Non Act (FM);Darkfield Non Act (FM);Darkfield Non Act (FM);Darkfield Non Act (FM);Darkfield Non Act (FM);Darkfield Non Act (FM);Darkfield Non Act (FM);Darkfield Non Act (FM);Darkfield All (FM);Darkfield All (FM);Darkfield All (FM);Darkfield All (FM);Darkfield All (FM);Darkfield All (FM);Darkfield All (FM);Darkfield All (FM);Darkfield All (FM);Scratches;Scratches;Scratches;Scratches;Scratches;Scratches;Scratches;Scratches;Scratches
Unit;1. Matching Number;2. Rows;3. Columns;4. Angles;5. Scores;6. Inspection Time;1. Defect_Name;2. Defect;3. N_Defect;4. *Diameter FAIL (um)(FM);5. Diameter ALL (um)(FM);6. Area ALL (um2)(FM);7. *Cummulative Area (um2)(FM);8. Inspection Time;1. Defect_Name;2. Defect;3. N_Defect;4. *Diameter FAIL PD (um)(FM);5. *Diameter FAIL Non-Act (um)(FM);6. Diameter ALL (um)(FM);7. Area ALL (um2)(FM);8. *Cummulative Area (um2)(FM);9. Inspection Time;1. Defect_Name;2. Defect;3. N_Defect;4. Diameter (pixel)(Scratch PD);5. *Diameter FAIL (um)(Scratch PD);6. Diameter ALL (um)(Scratch PD);7. Area ALL (um)(Scratch PD);8. *Cummulative Area (um2)(Scratch PD);9. Inspection Time
HE_1_2_C;1;1278.88939187001;1874.48621611796;0.352428796403486;0.995497779120456;22.8649999990012;"FM";"1";0;0;0;0;0;14.2382999983965;"FM";"1";10;0;0;[9.32952303175248, 12.1852369693823, 9.32952303175248, 13.7637204272682, 9.32952303175248, 18.2428068015862, 12.1852369693823, 12.1852369693823, 12.1852369693823, 12.1852369693823];[61.44, 71.68, 61.44, 71.68, 71.68, 174.08, 92.16, 102.4, 102.4, 102.4];911.36;63.5021999987657;"Scratch_PD";"1";0;0;0;0;0;0;98.790200001531
HE_2_1_C;1;1306.02077867735;1877.17955059715;0.339029789198496;0.996503782127263;26.6063999988546;"FM";"1";0;0;0;0;0;19.91039999848;"FM";"1";9;0;0;[11.3137084989848, 12.1852369693823, 15.1789327688082, 18.2428068015862, 9.32952303175248, 12.1852369693823, 15.8391918985787, 18.2428068015862, 11.3137084989848];[71.68, 71.68, 92.16, 163.84, 51.2, 71.68, 153.6, 122.88, 61.44];860.16;81.6723000025377;"Scratch_PD";"1";0;0;0;0;0;0;61.1091000027955
HE_3_2_C;1;1274.90566105841;1872.25033151268;0.305399241167615;0.995983840919735;27.5904000009177;"FM";"1";0;0;0;0;0;42.6255999991554;"FM";"1";3;0;0;[8.15843122174846, 12.1852369693823, 13.7637204272682];[51.2, 71.68, 143.36];266.24;167.133599999943;"Scratch_PD";"1";0;0;0;0;0;0;155.812900000456
HE_4_2_C;1;1282.82471095782;1858.56397568932;0.435382480659801;0.994715223540311;39.6228999998129;"FM";"1";0;0;0;0;0;31.3213000008545;"FM";"1";6;0;0;[9.32952303175248, 9.32952303175248, 11.3137084989848, 15.1789327688082, 9.32952303175248, 9.32952303175248];[71.68, 51.2, 81.92, 102.4, 61.44, 51.2];419.84;106.716999998753;"Scratch_PD";"1";0;0;0;0;0;0;219.238599998789
HE_3_1_C;1;1288.68431309579;1882.06077391095;0.395848629392964;0.996830826125972;24.0579000019352;"FM";"1";0;0;0;0;0;40.9819000014977;"FM";"1";4;0;0;[16.4730082255792, 11.3137084989848, 9.32952303175248, 12.1852369693823];[143.36, 61.44, 51.2, 92.16];348.16;149.114000003465;"Scratch_PD";"1";0;0;0;0;0;0;138.362699999561
HE_6_2_C;1;1289.22150604455;1859.22265970331;0.503588603031435;0.9930457977473;36.4736000010453;"FM";"1";0;0;0;0;0;14.4216000007873;"FM";"1";9;0;0;[12.1852369693823, 12.1852369693823, 12.1852369693823, 23.6237168963734, 9.32952303175248, 12.1852369693823, 11.3137084989848, 9.32952303175248, 17.6725776274996];[61.44, 81.92, 71.68, 256, 51.2, 71.68, 61.44, 61.44, 112.64];829.44;170.625700000528;"Scratch_PD";"1";0;0;0;0;0;0;104.620900001464
HE_5_1_C;1;1285.42067008854;1882.53804019501;0.305176263404985;0.993058722839464;46.6653000003134;"FM";"1";0;0;0;0;0;19.3039000005228;"FM";"1";8;0;0;[15.1789327688082, 12.1852369693823, 12.1852369693823, 13.7637204272682, 21.3466625026021, 12.1852369693823, 12.1852369693823, 23.6237168963734];[92.16, 71.68, 71.68, 92.16, 174.08, 81.92, 61.44, 184.32];829.44;137.009499998385;"Scratch_PD";"1";0;0;0;0;0;0;97.319399999833
HE_7_1_C;1;1283.03535856193;1883.00898749982;0.393837748404771;0.995980707564058;24.6659999975236;"FM";"1";0;0;0;0;0;17.9183000000194;"FM";"1";7;0;0;[11.3137084989848, 19.3328735577513, 9.32952303175248, 19.3328735577513, 12.1852369693823, 9.32952303175248, 9.32952303175248];[81.92, 194.56, 51.2, 122.88, 71.68, 61.44, 71.68];655.36;127.649599999131;"Scratch_PD";"1";0;0;0;0;0;0;55.7163000012224
HE_8_1_C;1;1301.63214843589;1875.29561216164;0.294034716354718;0.995708040341981;87.3233000020264;"FM";"1";0;0;0;0;0;21.1882000003243;"FM";"1";9;0;0;[12.1852369693823, 8.15843122174846, 16.4730082255792, 15.8391918985787, 9.32952303175248, 12.1852369693823, 9.32952303175248, 12.1852369693823, 9.32952303175248];[81.92, 51.2, 102.4, 102.4, 61.44, 71.68, 71.68, 71.68, 51.2];665.6;156.870300001174;"Scratch_PD";"1";0;0;0;0;0;0;130.659500002366
HE_9_2_C;1;1277.40507697151;1874.33860911051;0.321984282540016;0.993710591376612;21.0909999987052;"FM";"1";0;0;0;0;0;38.1889999989653;"FM";"1";10;0;0;[14.4886162210199, 18.2428068015862, 9.32952303175248, 11.3137084989848, 9.32952303175248, 12.1852369693823, 17.6725776274996, 12.1852369693823, 9.32952303175248, 12.1852369693823];[102.4, 133.12, 51.2, 71.68, 61.44, 92.16, 92.16, 61.44, 51.2, 71.68];788.48;121.071600002324;"Scratch_PD";"1";0;0;0;0;0;0;63.6334000009811
HE_10_2_C;1;1292.73509843993;1861.62929955628;0.34200714926738;0.993705303838908;50.0527000003785;"FM";"1";0;0;0;0;0;22.9883999963931;"FM";"1";4;0;0;[9.32952303175248, 9.32952303175248, 15.8391918985787, 9.32952303175248];[61.44, 51.2, 81.92, 61.44];256;183.471599997574;"Scratch_PD";"1";0;0;0;0;0;0;108.336100001907
HE_11_1_C;1;1290.36204067971;1877.04482882295;0.115128811542729;0.99464661610665;30.357699997694;"FM";"1";0;0;0;0;0;31.4450000005309;"FM";"1";10;0;0;[11.3137084989848, 19.3328735577513, 9.32952303175248, 9.32952303175248, 18.2428068015862, 11.3137084989848, 11.3137084989848, 13.7637204272682, 13.7637204272682, 11.3137084989848];[61.44, 143.36, 71.68, 51.2, 184.32, 71.68, 71.68, 112.64, 92.16, 81.92];942.08;71.8787999976485;"Scratch_PD";"1";0;0;0;0;0;0;85.9219000012672
