;;Pattern Matching Modified (DA);Pattern Matching Modified (DA);Pattern Matching Modified (DA);Pattern Matching Modified (DA);Pattern Matching Modified (DA);Pattern Matching Modified (DA);Darkfield Non Act (FM_Die);Darkfield Non Act (FM_Die);Darkfield Non Act (FM_Die);Darkfield Non Act (FM_Die);Darkfield Non Act (FM_Die);Darkfield Non Act (FM_Die);Darkfield Non Act (FM_Die);Darkfield Non Act (FM_Die);Darkfield Non Act (FM_Die);Darkfield Non Act (FM_Die);Darkfield Non Act (FM_Die);Darkfield Non Act (FM_Die);Darkfield Non Act (FM_Die);Darkfield Non Act (FM_Die);Darkfield Non Act (FM_Die);Darkfield Non Act (FM_Die);Darkfield All (FM_Die);Darkfield All (FM_Die);Darkfield All (FM_Die);Darkfield All (FM_Die);Darkfield All (FM_Die);Darkfield All (FM_Die);Darkfield All (FM_Die);Darkfield All (FM_Die);Darkfield All (FM_Die);Darkfield All (FM_Die);Darkfield All (FM_Die);Darkfield All (FM_Die);Darkfield All (FM_Die);Darkfield All (FM_Die);Darkfield All (FM_Die);Darkfield All (FM_Die);Darkfield All (FM_Die);Darkfield All (FM_Die);Darkfield All (FM_Die);Darkfield All (FM_Die);Scratches (FM_Die);Scratches (FM_Die);Scratches (FM_Die);Scratches (FM_Die);Scratches (FM_Die);Scratches (FM_Die);Scratches (FM_Die);Scratches (FM_Die);Scratches (FM_Die);Scratches (FM_Die);Scratches (FM_Die);Scratches (FM_Die);Scratches (FM_Die);Scratches (FM_Die);Scratches (FM_Die);Scratches (FM_Die);Scratches (FM_Die);Scratches (FM_Die);Scratches (FM_Die);Scratches (FM_Die);FM On Lead (FM_PCB);FM On Lead (FM_PCB);FM On Lead (FM_PCB);FM On Lead (FM_PCB);FM On Lead (FM_PCB);FM On Lead (FM_PCB);FM On Lead (FM_PCB);FM On Lead (FM_PCB);FM On Lead (FM_PCB);FM On Lead (FM_PCB);FM On Lead (FM_PCB);FM On Lead (FM_PCB);FM On Lead (FM_PCB);FM On Lead (FM_PCB);FM On Lead (FM_PCB);FM On Lead (FM_PCB);FM On Lead (FM_PCB);FM On Lead (FM_PCB);FM On Lead (FM_PCB);FM On Lead (FM_PCB);FM On Lead (FM_PCB);FM On Lead (FM_PCB);FM On Lead (FM_PCB);FM On Lead (FM_PCB)
Lot ID;Unit;1. Matching Number;2. Rows;3. Columns;4. Angles;5. Scores;6. Inspection Time;1. Defect;2. N_Defect;3. Diameter FAIL (um)(FM);3. Diameter FAIL (um)(FM) (min);3. Diameter FAIL (um)(FM) (max);3. Diameter FAIL (um)(FM) (avg);4. Diameter ALL (um)(FM);4. Diameter ALL (um)(FM) (min);4. Diameter ALL (um)(FM) (max);4. Diameter ALL (um)(FM) (avg);5. Area ALL (um2)(FM);5. Area ALL (um2)(FM) (min);5. Area ALL (um2)(FM) (max);5. Area ALL (um2)(FM) (avg);6. Cummulative Area (um2)(FM);7. Inspection Time;1. Defect;2. N_Defect;3. Diameter FAIL PD (um)(FM);3. Diameter FAIL PD (um)(FM) (min);3. Diameter FAIL PD (um)(FM) (max);3. Diameter FAIL PD (um)(FM) (avg);4. Diameter FAIL Non-Act (um)(FM);4. Diameter FAIL Non-Act (um)(FM) (min);4. Diameter FAIL Non-Act (um)(FM) (max);4. Diameter FAIL Non-Act (um)(FM) (avg);5. Diameter ALL (um)(FM);5. Diameter ALL (um)(FM) (min);5. Diameter ALL (um)(FM) (max);5. Diameter ALL (um)(FM) (avg);6. Area ALL (um2)(FM);6. Area ALL (um2)(FM) (min);6. Area ALL (um2)(FM) (max);6. Area ALL (um2)(FM) (avg);7. Cummulative Area (um2)(FM);8. Inspection Time;1. Defect;2. N_Defect;3. Diameter (pixel)(Scratch PD);3. Diameter (pixel)(Scratch PD) (min);3. Diameter (pixel)(Scratch PD) (max);3. Diameter (pixel)(Scratch PD) (avg);4. Diameter FAIL (um)(Scratch PD);4. Diameter FAIL (um)(Scratch PD) (min);4. Diameter FAIL (um)(Scratch PD) (max);4. Diameter FAIL (um)(Scratch PD) (avg);5. Diameter ALL (um)(Scratch PD);5. Diameter ALL (um)(Scratch PD) (min);5. Diameter ALL (um)(Scratch PD) (max);5. Diameter ALL (um)(Scratch PD) (avg);6. Area ALL (um)(Scratch PD);6. Area ALL (um)(Scratch PD) (min);6. Area ALL (um)(Scratch PD) (max);6. Area ALL (um)(Scratch PD) (avg);7. Cummulative Area (um2)(Scratch PD);8. Inspection Time;1. Defect;2. N_Defect;3. Total Area;4. Areas;4. Areas (min);4. Areas (max);4. Areas (avg);5. Total Area (um);6. Areas (um);6. Areas (um) (min);6. Areas (um) (max);6. Areas (um) (avg);7. Angle (deg);7. Angle (deg) (min);7. Angle (deg) (max);7. Angle (deg) (avg);8. inner_radius (um);8. inner_radius (um) (min);8. inner_radius (um) (max);8. inner_radius (um) (avg);9. Offset X;10. Offset Y;11. Offset Theta;12. Inspection Time
HRH14721041;HE_1_1_C;1;1303.33831062502;1887.10522985216;0.455134551392372;0.995707452837792;32.7123999595642;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;27.5638001039624;"1";1;0;0;0;0.0000;0;0;0;0.0000;11.3137084989848;11.3137084989848;11.3137084989848;11.3137;81.92;81.92;81.92;81.9200;81.92;106.050099944696;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;101.021299837157;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;3.19900014437735
HRH14721041;HE_2_1_C;1;1318.94616934742;1872.85457301535;0.750384197630079;0.997505737882989;38.569699972868;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;26.1772000230849;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;86.6652000695467;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;149.530600057915;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;3.85149987414479
HRH14721041;HE_1_2_C;1;1287.0619993406;1871.81845747578;0.757792517787679;0.997042327634119;30.8024999685585;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;13.418200192973;"1";1;0;0;0;0.0000;0;0;0;0.0000;32.3975307701065;32.3975307701065;32.3975307701065;32.3975;665.6;665.6;665.6;665.6000;665.6;129.032999975607;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;146.456899819896;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;2.51609995029867
HRH14721041;HE_2_2_C;1;1301.4881389233;1864.475800491;0.628686615302121;0.997405339944862;44.8215999640524;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;16.2961999885738;"1";2;0;0;0;0.0000;0;0;0;0.0000;[11.3137084989848, 18.2428068015862];11.3137084989848;18.2428068015862;14.7783;[81.92, 215.04];81.92;215.04;148.4800;296.96;77.6102000381798;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;107.643600087613;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;8.17899988032877
HRH14721041;HE_4_2_C;1;1292.67132949732;1868.50241098627;0.564074566842498;0.995569128240334;30.5782000068575;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;21.7504999600351;"1";1;0;0;0;0.0000;0;0;0;0.0000;13.7637204272682;13.7637204272682;13.7637204272682;13.7637;112.64;112.64;112.64;112.6400;112.64;185.733000049368;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;133.821199880913;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;4.73519996739924
HRH14721041;HE_4_1_C;1;1307.14230463785;1881.08209256431;0.647556396338365;0.995490794348427;23.2082998845726;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;20.1371998991817;"1";3;0;0;0;0.0000;0;0;0;0.0000;[12.1852369693823, 15.1789327688082, 9.32952303175248];9.32952303175248;15.1789327688082;12.2312;[102.4, 133.12, 61.44];61.44;133.12;98.9867;296.96;166.045400081202;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;132.973599946126;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;3.78299993462861
HRH14721041;HE_3_2_C;1;1282.3092400456;1873.89705456354;0.776108885767594;0.9943035136601;25.4064998589456;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;20.1850000303239;"1";2;0;0;0;0.0000;0;0;0;0.0000;[9.32952303175248, 12.1852369693823];9.32952303175248;12.1852369693823;10.7574;[51.2, 92.16];51.2;92.16;71.6800;143.36;150.307499803603;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;97.3459999077022;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;3.14669986255467
HRH14721041;HE_3_1_C;1;1299.37823412347;1887.15003038644;0.466026541965742;0.995545497516275;35.0794999394566;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;20.5171999987215;"1";5;0;0;0;0.0000;0;0;0;0.0000;[9.32952303175248, 16.4730082255792, 11.3137084989848, 12.1852369693823, 11.3137084989848];9.32952303175248;16.4730082255792;12.1230;[51.2, 174.08, 71.68, 92.16, 61.44];51.2;174.08;90.1120;450.56;130.081800045446;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;148.762699915096;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;2.48700007796288
HRH14721041;HE_5_2_C;1;1275.57208211622;1879.78945874779;0.713211091769878;0.995878090165661;41.3949000649154;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;18.102299887687;"1";5;0;0;0;0.0000;0;0;0;0.0000;[11.3137084989848, 12.1852369693823, 16.4730082255792, 15.1789327688082, 9.32952303175248];9.32952303175248;16.4730082255792;12.8961;[81.92, 92.16, 122.88, 143.36, 61.44];61.44;143.36;100.3520;501.76;132.449599914253;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;179.766099900007;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;3.09829995967448
